--- Analyzing Divine Speech Patterns in Isaiah 40 ---

Analyzing Isa.40.1:
  Word: נַחֲמ֥וּ | Gematria (Abs): 104 | Atbash: טסיפ
  Word: נַחֲמ֖וּ | Gematria (Abs): 104 | Atbash: טסיפ
  Word: עַמִּ֑י | Gematria (Abs): 120 | Atbash: זימ
  Word: יֹאמַ֖ר | Gematria (Abs): 251 | Atbash: מתיג
  Word: אֱלֹהֵיכֶֽם׃ | Gematria (Abs): 106 | Atbash: תכצמלי

Analyzing Isa.40.2:
  Word: דַּבְּר֞וּ | Gematria (Abs): 212 | Atbash: קשגפ
  Word: עַל־ | Gematria (Abs): 100 | Atbash: זכ
  Word: לֵ֤ב | Gematria (Abs): 32 | Atbash: כש
  Word: יְרֽוּשָׁלִַ֨ם֙ | Gematria (Abs): 586 | Atbash: מגפבכי
  Word: וְ | Gematria (Abs): 6 | Atbash: פ
  Word: קִרְא֣וּ | Gematria (Abs): 307 | Atbash: דגתפ
  Word: אֵלֶ֔יהָ | Gematria (Abs): 46 | Atbash: תכמצ
  Word: כִּ֤י | Gematria (Abs): 30 | Atbash: למ
  Word: מָֽלְאָה֙ | Gematria (Abs): 76 | Atbash: יכתצ
  Word: צְבָאָ֔הּ | Gematria (Abs): 98 | Atbash: השתצ
  Word: כִּ֥י | Gematria (Abs): 30 | Atbash: למ
  Word: נִרְצָ֖ה | Gematria (Abs): 345 | Atbash: טגהצ
  Word: עֲוֹנָ֑הּ | Gematria (Abs): 131 | Atbash: זפטצ
  Word: כִּ֤י | Gematria (Abs): 30 | Atbash: למ
  Word: לָקְחָה֙ | Gematria (Abs): 143 | Atbash: כדסצ
  Word: מִ | Gematria (Abs): 40 | Atbash: י
  Word: יַּ֣ד | Gematria (Abs): 14 | Atbash: מק
  Word: יְהוָ֔ה | Gematria (Abs): 26 | Atbash: מצפצ
  Word: כִּפְלַ֖יִם | Gematria (Abs): 180 | Atbash: לוכמי
  Word: בְּ | Gematria (Abs): 2 | Atbash: ש
  Word: כָל־ | Gematria (Abs): 50 | Atbash: לכ
  Word: חַטֹּאתֶֽיהָ׃ ס | Gematria (Abs): 493 | Atbash: סנתאמצח

Analyzing Isa.40.3:
  Word: קֹ֣ול | Gematria (Abs): 136 | Atbash: דפכ
  Word: קֹורֵ֔א | Gematria (Abs): 307 | Atbash: דפגת
  Word: בַּ | Gematria (Abs): 2 | Atbash: ש
  Word:  | Gematria (Abs): 0 | Atbash:
  Word: מִּדְבָּ֕ר | Gematria (Abs): 246 | Atbash: יקשג
  Word: פַּנּ֖וּ | Gematria (Abs): 136 | Atbash: וטפ
  Word: דֶּ֣רֶךְ | Gematria (Abs): 224 | Atbash: קגל
  Word: יְהוָ֑ה | Gematria (Abs): 26 | Atbash: מצפצ
  Word: יַשְּׁרוּ֙ | Gematria (Abs): 516 | Atbash: מבגפ
  Word: בָּ | Gematria (Abs): 2 | Atbash: ש
  Word:  | Gematria (Abs): 0 | Atbash:
  Word: עֲרָבָ֔ה | Gematria (Abs): 277 | Atbash: זגשצ
  Word: מְסִלָּ֖ה | Gematria (Abs): 135 | Atbash: יחכצ
  Word: לֵ | Gematria (Abs): 30 | Atbash: כ
  Word: אלֹהֵֽינוּ׃ | Gematria (Abs): 102 | Atbash: תכצמטפ

Analyzing Isa.40.4:
  Word: כָּל־ | Gematria (Abs): 50 | Atbash: לכ
  Word: גֶּיא֙ | Gematria (Abs): 14 | Atbash: רמת
  Word: יִנָּשֵׂ֔א | Gematria (Abs): 361 | Atbash: מטבת
  Word: וְ | Gematria (Abs): 6 | Atbash: פ
  Word: כָל־ | Gematria (Abs): 50 | Atbash: לכ
  Word: הַ֥ר | Gematria (Abs): 205 | Atbash: צג
  Word: וְ | Gematria (Abs): 6 | Atbash: פ
  Word: גִבְעָ֖ה | Gematria (Abs): 80 | Atbash: רשזצ
